Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Tesla Inc (TSLA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
  Automobiles,,62.753,1.0,53.714,1.0,19.282,1.0,92.996,1.0,208.981,1.0,273.978,1.0,231.976,1.0,464.7,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
Capital Expenditures,,-9.802,,-10.63,,-11.884,,-40.203,,-197.896,,-239.228,,-264.224,,-969.885,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Automobiles,,-9.802,1.0,-10.63,1.0,-11.884,1.0,-40.203,1.0,-197.896,1.0,-239.228,1.0,-264.224,1.0,-969.885,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
Vehicles Sold - Worldwide,,—,,—,,—,,1500,1.0,650,1.0,2936,1.0,22477,1.0,31655,1.0,50658,1.0,76230,1.0,103181,1.0,245240,1.0,367656,1.0,499550,1.0,936222,1.0,1313851,1.0,1808581,1.0
  Model 3 / Y,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,300885,0.818387296820941,442511,0.885819237313582,911242,0.973318294165273,1247146,0.949229402725271,1739707,0.961918211017367
  Model S / X,,—,,—,,—,,—,,—,,—,,—,,—,,50658,1.0,76230,1.0,101419,0.982923212606972,99394,0.405292774425053,66771,0.181612703179059,57039,0.114180762686418,24980,0.0266817058347272,66705,0.050770597274729,68874,0.0380817889826333
  Automobiles,,—,,—,,—,,1500,1.0,650,1.0,2936,1.0,22477,1.0,31655,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Model 3,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1762,0.0170767873930278,145846,0.594707225574947,—,,—,,—,,—,,—,
Vehicles Produced - Worldwide,,—,,—,,—,,—,,—,,3100,1.0,—,,—,,51095,1.0,83922,1.0,101207,1.0,254530,1.0,365232,1.0,509737,1.0,930422,1.0,1369611,1.0,1845985,1.0
  Model 3 / Y,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,302301,0.827695820738599,454932,0.892483771042714,906032,0.973786088463085,1298434,0.948031229305255,1775159,0.961632407630615
  Model S / X,,—,,—,,—,,—,,—,,—,,—,,—,,51095,1.0,83922,1.0,98342,0.971691681405436,101553,0.398982438219463,62931,0.172304179261401,54805,0.107516228957286,24390,0.0262139115369155,71177,0.0519687706947447,70826,0.0383675923693855
  Automobiles,,—,,—,,—,,—,,—,,3100,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Model 3,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2865,0.0283083185945636,152977,0.601017561780537,—,,—,,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
