Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1297,6079,6112,5777,6606,4675,6296,8311,4027,7068,5174,6392,6875,6576,7924,9759,9582,9198,9700,9625,9152,11550,9421,8631,10393,8754,16926,10289,9514,10127,13589,11970,8717,9579,8854,7248,1438,18115,26176,-25929,31242,21444,23713,40581,-59740,39192,41223,49040,18000,39322,15831,52537,10355,-51715,-853,25101,48333,49269,-12751,50831,19697,42313,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8196,20.1846,18.7084,17.9345,19.0094,16.9068,17.7951,17.3223,15.771,17.2224,16.8593,17.8339,19.1637,20.1215,20.9161,21.265,20.9196,20.505,21.2002,20.5455,19.9046,20.2107,18.6465,21.5663,21.9784,21.208,21.5581,20.0362,20.2311,18.783,18.3014,16.2151,14.2105,11.927,14.9525,20.6829,8.7851,19.3823,20.2802,19.5053,35.7493,10.9598,16.7936,21.9398,24.3482,40.3286,40.4102,35.3042,35.4311,33.4111,10.1501,4.0642,-7.309,7.311,30.3344,27.3729,30.8834,26.0496,24.8438,
EBIT,EBIT,135.031,149.719,145.475,195.359,226.265,189.73,148.188,146.472,118.459,149.735,67.868,333.786,152.027,165.673,145.12,799.595,197.624,250.525,158.858,383.801,196.4,195.4,203.7,354.1,243.1,297.5,296.4,484.5,393.2,389.4,385.8,664.8,393,491,423,701,512,501,279,-73,602,409,466,237,728,626,-1157,244,1368,1612,1478,1349,1731,1978,1934,3590,2361,1878,1963,5218,1862,2094,733,7723,3838,3911,4627,5576,4387,5133,7185,4778,1780,4807,1848,463,-2055,5301,5333,4965,5691,3575,5202,7141,2892,5927,4032,5127,5622,5311,6628,7419,7981,7582,8084,7950,7380,9740,7567,6697,8522,6813,14937,8311,7389,7893,11343,9674,6474,7283,6558,4895,-949,15728,23781,-28539,28470,18627,20830,37554,-62325,36668,38640,46136,15327,36650,13163,49832,7652,-54425,-3581,22343,45282,46173,-15961,47702,16529,39115,
Gross Margin,GROSS_MARGIN,46.2987,50.3647,51.2941,35.1234,52.9143,47.5423,41.9567,28.1865,40.2723,42.7333,22.8904,52.4988,40.1916,43.0171,36.7399,65.9219,38.0861,44.8903,37.7908,44.7896,36.9284,39.02,38.0334,42.5458,26.0611,26.8835,26.4902,31.6168,33.2991,29.4003,31.1798,28.5868,25.5573,29.4778,25.2903,30.2533,33.0756,33.8006,22.0042,20.9479,19.2053,15.6223,13.3983,20.3108,20.3744,15.3244,-1.9614,22.1436,35.7525,34.7458,23.2274,4.0927,26.3527,23.8677,20.8433,36.9177,30.7786,20.9491,22.3451,28.0729,22.4623,23.3396,14.5327,40.4249,27.1274,26.2229,28.1979,31.032,21.1981,29.1732,33.3267,27.5648,18.0973,26.2719,17.199,15.6352,2.6378,27.4834,27.2505,25.8163,25.6516,19.8966,21.5995,27.2778,16.4027,22.757,20.2525,21.6361,22.8091,22.0178,24.0804,21.8627,25.5112,24.3148,24.3484,24.5212,23.4198,26.3836,21.3891,21.5988,24.5971,20.6218,32.323,23.6167,22.0539,22.8591,26.795,29.554,16.9345,20.4798,18.2795,23.357,8.9342,36.5611,37.5774,-80.8906,41.4259,38.7204,34.7519,41.7443,,57.691,47.9113,63.723,28.9193,48.5411,30.6752,53.418,18.9632,-483.4734,10.0695,38.1099,43.075,44.9022,-9.0081,45.8545,28.6065,42.0849,
Operating Margin,OPER_MARGIN,22.8593,27.5289,27.7106,19.6074,32.6384,28.2291,22.4264,13.6166,18.5331,22.8967,8.219,36.8747,20.9802,23.6135,19.5459,54.1457,21.1644,28.1486,19.3855,31.8711,20.6454,20.8605,19.579,24.5766,13.5056,15.4787,15.4439,20.4,19.2547,16.9106,17.6148,23.8391,15.1038,18.9942,15.3483,20.1785,10.1527,9.8914,4.2107,-1.2312,10.4915,7.0215,6.225,2.1664,9.2703,6.2864,-12.5379,2.6577,14.3682,16.0718,14.2389,11.8479,16.4029,15.2095,10.9899,18.0811,13.7395,10.4357,10.2389,26.0509,10.5591,11.5512,3.5699,30.4439,16.8607,16.1712,18.2453,21.2573,13.3271,18.7699,24.0004,17.0381,7.0705,15.9738,6.6175,1.8827,-9.0195,17.9045,17.8337,16.4415,17.7638,11.2744,14.3409,19.7456,8.5765,15.4857,11.9506,13.5081,14.7377,13.7783,16.1462,16.5899,18.1936,16.9646,17.3696,16.8973,16.2366,19.5732,14.7796,13.8697,17.5191,13.2631,25.3217,16.0005,14.1652,14.5482,19.2767,16.634,9.9378,12.6703,10.8447,8.3018,-1.8808,22.9398,30.4276,-101.1806,35.1481,25.2926,27.4447,38.844,,37.8313,40.8431,44.4453,21.8026,37.9761,17.4335,44.3211,11.1116,-586.3499,-5.6448,24.1455,37.6876,36.7725,-25.1624,36.6403,18.0162,33.2865,
Profit Margin,PROF_MARGIN,14.3009,17.2761,17.1843,12.5904,20.9166,17.5008,14.1113,7.8123,10.5493,14.9924,4.6422,22.4791,4.1057,15.9582,3.0701,35.4572,14.2318,18.4995,12.9132,7.5933,14.6326,20.4975,18.6947,18.6841,92.7056,9.948,13.7557,15.3558,13.9268,12.0641,16.7382,34.8836,27.7479,45.4932,13.2438,16.3212,10.7277,11.2932,6.3387,0.4048,14.0641,10.9871,10.6465,9.9086,7.7168,7.7626,-7.358,1.0347,9.6208,10.4187,10.9923,10.3987,16.3934,17.1396,10.2625,12.0171,9.02,7.1238,5.9305,16.67,7.7294,7.9932,2.8539,20.2223,10.1612,9.7044,10.9306,13.6594,7.8832,11.4016,15.2086,10.5089,3.7339,9.5703,3.785,0.4758,-6.7328,11.1291,10.828,10.1199,11.34,6.2064,8.2401,12.1029,4.481,8.9277,6.7518,8.0306,8.5066,8.0631,9.5493,10.1767,11.1519,10.1604,10.8571,10.606,10.3514,12.8512,9.0178,8.6052,10.6159,7.8123,15.9826,10.5464,10.7145,9.2178,12.2326,10.8085,6.2323,7.4146,6.7254,55.2058,-2.2553,17.5185,23.7218,-90.0234,26.742,19.109,21.7713,30.1606,,27.1292,31.8553,34.5218,16.6588,29.1105,13.6999,35.2616,8.1028,-469.9526,-4.4105,19.5386,29.5495,28.6006,-20.1271,28.8609,13.8449,25.8259,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115126.2136,,,,97678.5714,,,,83463.6364,,,,77455.7823,,,,114968.1529,,,,,,,,132125,,,,120880.1843,,,,,,,,99967.4797,,,,117501.9455,,,,139096.1538,,,,140574.0741,,,,155008.6655,,,,142251.5835,,,,141806.5839,,,,143776.1231,,,,158468.6649,,,,156400.5305,,,,72439.5374,,,,246920.4856,,,,288205.1453,,,,302524.1287,,,,241826.1026,,,,328397.7399,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,8.5079,8.3324,8.4185,6.9455,5.3713,4.8683,3.8977,5.0047,4.3874,4.4845,4.2059,7.1217,8.0377,8.4897,8.9285,4.437,4.2798,4.1464,4.4742,5.5561,14.9526,13.3874,12.8083,12.3919,5.2203,4.9597,5.2586,6.9298,7.9337,9.9722,10.9755,6.3697,5.7175,4.3072,4.8689,2.704,3.1934,3.2708,3.9548,5.5706,5.4535,5.6053,3.0627,1.3286,1.8589,2.2742,5.3406,7.027,8.1045,9.4514,10.3266,11.51,10.9883,9.3007,8.3265,8.9397,8.5702,8.6492,7.9168,9.6153,10.4266,11.1751,13.1017,11.0203,11.0086,11.3376,12.4683,11.5321,10.0827,9.7057,6.5184,4.3426,2.2685,2.5245,4.1555,6.7022,10.5773,9.2464,8.447,8.9917,7.0591,8.0413,7.4819,6.3656,7.1346,6.8622,7.7322,8.4109,8.8064,9.4382,9.6884,9.5112,9.0626,9.6982,9.289,8.6015,8.6686,7.478,9.3713,9.7164,9.8009,10.0167,8.9909,8.9558,8.1757,7.737,6.4671,14.2584,12.4145,14.4185,18.1212,1.1538,7.4887,7.7992,6.9492,21.0517,2.7038,5.7296,8.8205,9.798,25.3744,24.4881,19.3737,18.9169,17.5006,2.5652,-0.2571,-4.6465,1.415,17.3203,15.6468,18.5993,13.6465,11.8883,
Return on Assets,RETURN_ON_ASSET,,,,,4.3551,4.3387,4.3683,3.5007,2.7358,2.4847,1.9967,2.5936,2.3004,2.3265,2.155,3.7741,4.2991,4.524,4.7761,2.422,2.3379,2.3048,2.5134,3.1765,7.9605,7.3458,7.0812,6.9012,2.787,2.7082,2.8802,3.8215,4.4428,5.6548,6.1797,3.1736,2.8647,2.1627,2.3243,1.2277,1.4133,1.4548,1.7645,2.4909,2.2265,2.2992,1.2516,0.5326,0.7099,0.8708,1.9837,2.5796,3.0517,3.6918,4.0878,4.6563,4.189,3.7326,3.5894,3.9563,3.5425,3.6599,3.5592,4.405,4.4996,4.8581,5.753,4.931,4.5934,4.8139,5.3624,5.0664,4.2592,4.1401,2.8031,1.8477,0.9306,1.0606,1.7834,2.8538,4.2869,3.8074,3.5507,3.8745,2.9598,3.3596,3.091,2.6812,3.0432,2.9416,3.2907,3.6152,3.8589,4.1738,4.3158,4.2693,4.1161,4.4467,4.2457,3.9319,3.9631,3.4347,4.2829,4.4676,4.3866,4.4983,4.048,4.1043,3.634,3.4657,2.9053,6.7939,5.8569,6.8951,8.7396,0.5704,3.7214,3.9241,3.5235,10.674,1.3354,2.8719,4.4296,5.0277,12.6429,12.4398,9.8228,9.8002,9.0257,1.3114,-0.1309,-2.3866,0.7287,8.8856,7.9833,9.5344,7.1037,6.311,
Return on Capital,RETURN_ON_CAP,,,,,8.418,8.2584,8.2469,7.0723,5.9277,5.3887,4.6038,5.3025,4.7602,4.7479,4.3212,6.8492,7.8879,8.3371,8.8245,,,,,5.5082,14.1645,12.7543,12.3438,11.7731,5.1606,4.9111,5.1981,6.7005,7.6079,9.5401,10.492,6.1273,4.8709,3.647,3.9584,2.3672,2.9102,2.633,3.311,4.6396,4.6997,4.8305,2.992,1.2835,1.6536,1.6175,4.7328,5.1887,6.0969,7.1473,8.3211,9.3345,7.8328,7.6344,7.0266,7.9353,6.3059,7.2903,6.9716,8.3461,8.3111,9.2439,11.1149,9.6035,9.1155,9.4164,10.2952,9.6213,8.4137,8.1883,5.8072,4.2733,2.8627,3.0692,4.1869,6.0606,8.554,7.6892,7.2598,7.7424,6.0953,6.7875,6.3366,5.5962,6.2127,6.0542,6.6202,7.1129,7.4298,7.8978,8.0678,7.9035,7.6017,8.1424,7.8518,7.2639,7.2761,6.4298,7.8389,8.071,7.9894,8.1052,7.4329,7.4361,6.6631,6.5296,5.6681,11.4551,10.2391,11.7536,14.6246,1.6287,6.5423,6.8166,6.1616,17.1991,2.8918,5.1494,7.6132,8.3533,20.572,20.0649,16.1096,15.5974,14.5874,2.8994,0.5073,-2.985,1.8235,14.4251,13.162,15.4055,11.6944,10.318,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,8.3687,8.2093,8.1951,5.9,5.9008,5.3508,4.5317,4.3191,5.4858,5.4535,4.9842,5.9971,7.7981,8.2568,8.804,4.9141,5.9234,5.1681,5.0496,4.1508,4.2017,4.1655,4.2029,3.7123,4.608,4.3032,4.3958,3.7955,3.2644,3.1212,3.6297,2.7892,2.0428,2.0005,2.0216,1.0553,1.1171,0.8891,1.0632,1.2423,1.4563,1.6886,0.3431,0.225,0.6681,-0.254,1.9632,2.3643,2.7562,4.5015,5.1625,6.1926,5.9113,4.9242,4.5748,5.1761,4.1285,7.0587,5.9577,7.5719,7.7329,9.1062,10.5804,9.6532,9.1546,9.4529,10.3075,9.6477,8.4294,8.1879,5.813,4.1399,2.7892,2.9912,4.1788,5.9061,8.5356,7.675,7.2434,7.7274,6.0898,6.7805,6.3323,5.592,6.2056,6.0458,6.611,7.1021,7.4196,7.886,8.0561,7.8927,7.5931,8.1325,7.8417,6.6025,7.2741,6.4301,7.8423,6.8153,7.9751,8.054,7.3285,6.071,6.4522,6.2964,5.4238,9.5306,9.6673,11.216,14.1092,1.7971,6.9255,7.2248,6.4991,15.2027,2.6256,5.0197,7.5325,7.3439,20.45,19.8881,15.9339,13.6241,14.4395,2.6591,0.401,-2.8092,1.5778,14.0803,12.8307,13.4202,11.4614,10.1255,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,46.2987,50.3647,51.2941,35.1234,52.9143,47.5423,41.9567,28.1865,40.2723,42.7333,22.8904,52.4988,40.1916,43.0171,36.7399,65.9219,38.0861,44.8903,37.7908,44.7896,36.9284,39.02,38.0334,42.5458,26.0611,26.8835,26.4902,31.6168,33.2991,29.4003,31.1798,28.5868,25.5573,29.4778,25.2903,30.2533,33.0756,33.8006,22.0042,20.9479,19.2053,15.6223,13.3983,20.3108,20.3744,15.3244,-1.9614,22.1436,35.7525,34.7458,23.2274,4.0927,26.3527,23.8677,20.8433,36.9177,30.7786,20.9491,22.3451,28.0729,22.4623,23.3396,14.5327,40.4249,27.1274,26.2229,28.1979,31.032,21.1981,29.1732,33.3267,27.5648,18.0973,26.2719,17.199,15.6352,2.6378,27.4834,27.2505,25.8163,25.6516,19.8966,21.5995,27.2778,16.4027,22.757,20.2525,21.6361,22.8091,22.0178,24.0804,21.8627,25.5112,24.3148,24.3484,24.5212,23.4198,26.3836,21.3891,21.5988,24.5971,20.6218,32.323,23.6167,22.0539,22.8591,26.795,29.554,16.9345,20.4798,18.2795,23.357,8.9342,36.5611,37.5774,-80.8906,41.4259,38.7204,34.7519,41.7443,,57.691,47.9113,63.723,28.9193,48.5411,30.6752,53.418,18.9632,-483.4734,10.0695,38.1099,43.075,44.9022,-9.0081,45.8545,28.6065,42.0849,
Operating Margin,OPER_MARGIN,22.8593,27.5289,27.7106,19.6074,32.6384,28.2291,22.4264,13.6166,18.5331,22.8967,8.219,36.8747,20.9802,23.6135,19.5459,54.1457,21.1644,28.1486,19.3855,31.8711,20.6454,20.8605,19.579,24.5766,13.5056,15.4787,15.4439,20.4,19.2547,16.9106,17.6148,23.8391,15.1038,18.9942,15.3483,20.1785,10.1527,9.8914,4.2107,-1.2312,10.4915,7.0215,6.225,2.1664,9.2703,6.2864,-12.5379,2.6577,14.3682,16.0718,14.2389,11.8479,16.4029,15.2095,10.9899,18.0811,13.7395,10.4357,10.2389,26.0509,10.5591,11.5512,3.5699,30.4439,16.8607,16.1712,18.2453,21.2573,13.3271,18.7699,24.0004,17.0381,7.0705,15.9738,6.6175,1.8827,-9.0195,17.9045,17.8337,16.4415,17.7638,11.2744,14.3409,19.7456,8.5765,15.4857,11.9506,13.5081,14.7377,13.7783,16.1462,16.5899,18.1936,16.9646,17.3696,16.8973,16.2366,19.5732,14.7796,13.8697,17.5191,13.2631,25.3217,16.0005,14.1652,14.5482,19.2767,16.634,9.9378,12.6703,10.8447,8.3018,-1.8808,22.9398,30.4276,-101.1806,35.1481,25.2926,27.4447,38.844,,37.8313,40.8431,44.4453,21.8026,37.9761,17.4335,44.3211,11.1116,-586.3499,-5.6448,24.1455,37.6876,36.7725,-25.1624,36.6403,18.0162,33.2865,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,88.9714,31.1986,1.9978,,-199.3823,-220.3949,,,39.2861,33.453,,81.4984,21.8027,45.0365,17.839,-152.5754,,,20.2969,,5.5025,10.3623,10.5485,13.9585,61.9992,24.1397,32.9889,43.5823,,35.9901,6.5748,5.2824,4.8751,0.4032,,,12.9496,,21.7442,6.1864,5.9574,5.2504,,,38.3693,1369.4444,228.7326,50.1134,35.1744,12.3025,6.3175,26.4612,9.5008,,1.8424,930.2857,,163.6364,,46.9277,38.526,29.9983,80.6712,,5.4062,38.6464,55.8881,,-33.6691,,-265.3904,-125.0362,-160.3931,,176.1881,80.3068,83.7134,,,36.4672,,35.8264,-46.1538,,61.667,,35.5081,33.8803,41.2413,36.9449,26.5161,22.7995,,42.5725,,,35.7882,,94.6085,44.1345,,37.422,-2461.6438,21.9273,,,,,-50.5413,76.2115,97.3931,-108.7037,96.3231,57.022,-130.6909,96.5242,-100.8721,77.499,95.1999,120.4491,97.9107,-4.3165,-133.3735,42.8273,-535.2162,-104.4127,-138.7816,-138.1426,73.3729,86.5121,-176857.1429,67.3456,-101.2216,-87.6335,
Pretax Margin,PRETAX_INC_TO_NET_SALES,18.492,22.6168,22.5436,16.6487,28.6236,24.2127,18.4621,10.2098,12.9327,19.4255,4.8224,33.2635,18.657,21.2778,16.9387,52.7833,18.8282,25.5703,16.8546,9.2396,18.4905,28.152,24.654,26.9503,142.0278,13.7045,19.0704,21.8947,19.4799,17.2667,24.6416,53.5196,41.8524,70.2128,19.8839,24.8129,17.4896,17.078,10.0966,0.5735,22.7431,19.1245,18.381,16.3803,12.1864,12.7234,-11.3351,3.1696,14.5993,0,15.8767,15.7211,24.1637,25.644,14.6721,17.7537,13.1867,0,9.3574,24.7728,11.1886,11.8822,4.0666,30.8617,15.8722,14.8935,16.9598,20.0602,12.3701,17.6107,22.8714,15.7829,5.7716,14.8573,5.3785,0.6018,-11.1613,16.182,16.1818,14.7857,15.9129,9.2655,12.4993,17.9206,6.6251,13.7561,9.9677,11.7297,12.9263,11.9727,14.4604,15.1029,16.6298,15.4185,15.8527,15.3712,14.5161,17.9173,13.1839,12.0969,15.7203,11.3806,23.8553,14.2101,12.3766,13.5879,17.8866,16.015,8.7313,10.6627,9.3101,10.839,-3.0184,22.0209,29.6164,-116.0072,34.1321,24.114,26.9954,38.0651,699.7669,36.5324,40.0926,43.7392,20.666,37.0135,16.5342,43.5393,10.1024,-595.863,-6.712,23.8926,37.2465,36.1847,-26.7357,36.0535,17.1192,32.4543,
