Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,2269.518,1.0,2561.804,1.0,3164.461,1.0,2159.217,1.0,2213.588,1.0,2630.772,1.0,3248.008,1.0,2456.632,1.0,2552.902,1.0,2859.223,1.0,3319.096,1.0,2519.779,1.0,2754.05,1.0,3008.9,1.0
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2588,1.0,2916,1.0
    Total Retail,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2144,0.828438948995363,2478,0.849794238683128
    Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,351,0.135625965996909,344,0.117969821673525
    Other Electric,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,93,0.035935085007728,94,0.032235939643347
Operating Income - Supplementary Breakdown,,—,,—,,—,,—,,—,,—,,—,,—,,588.083,1.0,—,,—,,—,,654.266,1.0,694.917000000001,1.0
  Wholesale Service - Southern Power,,—,,—,,—,,—,,—,,—,,—,,—,,69.222,0.110999220686758,—,,—,,—,,56.415,0.0442640006527989,50562,0.987431852858007
  Georgia Power,,—,,—,,—,,—,,—,,—,,—,,—,,262.205,0.420452322385532,—,,—,,—,,285.314,0.223861368115796,321.727,0.00628304829169036
  Alabama Power,,—,,—,,—,,—,,—,,—,,—,,—,,210.637,0.337761735399101,—,,—,,—,,202.568,0.158937695368894,238.718,0.00466195476940306
  Mississippi Power,,—,,—,,—,,—,,—,,—,,—,,—,,39.75,0.0637401262936439,—,,—,,—,,31.6,0.0247938034322156,43.29,0.00084541602211588
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,32.797,0.052590815649123,—,,—,,—,,35.803,0.0280915362115068,39.824,0.000777728058783618
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,-35.543,,—,,—,,—,,-620.246,,-50510.642,
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,654.266,0.513346284695632,—,
  Savannah Electric,,—,,—,,—,,—,,—,,—,,—,,—,,9.015,0.0144557795858415,—,,—,,—,,8.546,0.00670531152315553,—,
Net Income,,366.591,1.0,319.286,1.0,600.943,1.0,162.18,1.0,228.667,1.0,335.788,1.0,599.826,1.0,148.719,1.0,302.549,1.0,437.359,1.0,618.835,1.0,136.257,1.0,336.614,1.0,361.671,1.0
  Electric Utilities,,—,,—,,—,,—,,232,1.03571428571429,341,1.03333333333333,589,1.06126126126126,134,0.901028113421957,287,0.963087248322148,423,0.979166666666667,603,0.974151857835218,1424,0.976680384087791,299,0.900602409638554,331,0.940340909090909
    Traditional Operating Companies,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,272,0.819277108433735,308,0.875
    Southern Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,27,0.0813253012048193,23,0.0653409090909091
  All Other,,-19,-0.105555555555556,-4,-0.0147058823529412,8,0.0144404332129964,-15,1.0,-8,-0.0357142857142857,-11,-0.0333333333333333,-34,-0.0612612612612613,14.719,0.0989718865780432,11,0.0369127516778524,9,0.0208333333333333,16,0.0258481421647819,34,0.0233196159122085,33,0.0993975903614458,21,0.0596590909090909
  Reconciliation,,186.591,,47.286,,46.943,,177.18,,4.667,,5.788,,44.826,,—,,4.549,,5.359,,-0.165,,-1321.743,,4.614,,9.671,
